Flag;Absolute Time;Relative Time;Accumulated Distance (km);Speed (km/h);
{;17/05/2016 10:02:19.90;+0h 0mn 0s 00;0.000;0;
12;17/05/2016 10:02:22.18;+0h 0mn 2s 28;0.000;0;
13;17/05/2016 10:02:22.30;+0h 0mn 2s 40;0.000;0;
14;17/05/2016 10:02:22.42;+0h 0mn 2s 52;0.000;0;
15;17/05/2016 10:02:22.46;+0h 0mn 2s 56;0.000;0;
19;17/05/2016 10:02:30.23;+0h 0mn 10s 33;0.000;0;
20;17/05/2016 10:02:31.19;+0h 0mn 11s 29;0.000;0;
25;17/05/2016 10:02:52.36;+0h 0mn 32s 46;0.000;0;
26;17/05/2016 10:02:53.01;+0h 0mn 33s 11;0.000;0;
45;17/05/2016 10:03:00.48;+0h 0mn 40s 58;0.000;0;
50;17/05/2016 10:03:21.18;+0h 1mn 1s 28;0.000;0;
51;17/05/2016 10:03:24.60;+0h 1mn 4s 70;0.000;0;
61;17/05/2016 10:04:21.20;+0h 2mn 1s 30;0.000;0;
62;17/05/2016 10:05:21.22;+0h 3mn 1s 32;0.000;0;
65;17/05/2016 10:06:21.24;+0h 4mn 1s 34;0.000;0;
73;17/05/2016 10:06:39.83;+0h 4mn 19s 93;0.000;0;
74;17/05/2016 10:06:39.90;+0h 4mn 20s 00;0.000;1;
77;17/05/2016 10:06:40.39;+0h 4mn 20s 49;0.000;2;
80;17/05/2016 10:06:40.95;+0h 4mn 21s 05;0.001;3;
84;17/05/2016 10:06:41.72;+0h 4mn 21s 82;0.001;4;
91;17/05/2016 10:06:42.19;+0h 4mn 22s 29;0.002;4;
92;17/05/2016 10:06:42.23;+0h 4mn 22s 33;0.002;4;
95;17/05/2016 10:06:43.36;+0h 4mn 23s 46;0.003;5;
98;17/05/2016 10:06:44.94;+0h 4mn 25s 04;0.006;6;
102;17/05/2016 10:06:45.95;+0h 4mn 26s 05;0.008;7;
105;17/05/2016 10:06:46.46;+0h 4mn 26s 56;0.009;8;
107;17/05/2016 10:06:47.00;+0h 4mn 27s 10;0.010;9;
118;17/05/2016 10:06:52.19;+0h 4mn 32s 29;0.024;9.5;
122;17/05/2016 10:07:01.10;+0h 4mn 41s 20;0.045;8;
135;17/05/2016 10:07:06.92;+0h 4mn 47s 02;0.057;9;
